conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1906744517816209920,Mon Mar 31 19:39:47 +0000 2025,0,YA AMPUNNNNNNNN UDH KEBERAPA KALI NIH BANJIR,1906793567001211366,,bcnism,in,,0,1,0,https://x.com/undefined/status/1906793567001211366,2757287835,
1906783260602200064,Mon Mar 31 19:06:22 +0000 2025,0,Btw ini eps 9-12 gacoooorr bikin banjir. Telat banget sih gw tau series LT ini dan demiapa di jam segini mewek sendirian nonton series BL,1906785158608691561,,yovebriana,in,,0,0,0,https://x.com/undefined/status/1906785158608691561,1288805932713955072,
1906757526739472896,Mon Mar 31 17:16:36 +0000 2025,0,teruss gue selesaiin buru2 karena gak nahan bgt udh banjir pipi dan bantal gue selanjutnya gue melanjutkan ditto tirta,1906757533177651511,,beeeunfac,in,,0,1,0,https://x.com/undefined/status/1906757533177651511,1025965472401907968,
1906736917879895040,Mon Mar 31 17:16:32 +0000 2025,0,@jayammh Banjir ya kak,1906757517214187946,,jayammh,in,,0,0,0,https://x.com/undefined/status/1906757517214187946,1825384567773241088,
1906756097438011904,Mon Mar 31 17:10:54 +0000 2025,0,Wonu live terakhir + nonton When Life Gives You Tangerines = nangis banjir ,1906756097438011776,,,in,,0,0,0,https://x.com/undefined/status/1906756097438011776,1857074246775631872,
1906756028450139904,Mon Mar 31 17:10:37 +0000 2025,0,Warga jambi yg sabar ya banjir di hari lebaran,1906756028450140229,,,in,,0,0,0,https://x.com/undefined/status/1906756028450140229,1230139315096669952,
1906753391667113984,Mon Mar 31 17:02:30 +0000 2025,0,@tanyakanrl aku baru sampe eps 6 terpantau udah banjir di eps 1 sama 5-6 wkwkw ntar masi lanjut,1906753984582525367,,tanyakanrl,in,,0,1,0,https://x.com/undefined/status/1906753984582525367,1101406682981129984,
1906753372134543872,Mon Mar 31 17:00:04 +0000 2025,0,00:00 time to make a wish. Semoga bisa bangun pagi gak macet gak hujan dan gak banjir ,1906753372134543635,,,in,,0,0,0,https://x.com/undefined/status/1906753372134543635,215666354,
1906740070281081088,Mon Mar 31 16:57:17 +0000 2025,0,@hanji_miamor iyesss semprot sampe banjir aku biasanya. pas udah ngeresap tuh enak banget rasanya make up nya jadi kaya smooth gitu.,1906752673950605414,,hanji_miamor,in,,0,1,0,https://x.com/undefined/status/1906752673950605414,3547112952,
1906752230054896128,Mon Mar 31 16:55:32 +0000 2025,0,gua baru baca ini baru paragraf atasnya doang udah banjir anying huhuhuhu kebawahnya makin deres :( kangen idar marko bangett ️,1906752230054896122,,,in,,0,0,0,https://x.com/undefined/status/1906752230054896122,1454404368015367936,
1906750620079629056,Mon Mar 31 16:54:22 +0000 2025,0,@outrotearc Banjir bandang skala lokal :),1906751936533242207,,outrotearc,in,,0,0,0,https://x.com/undefined/status/1906751936533242207,1695741308076453888,
1906750325375247104,Mon Mar 31 16:51:59 +0000 2025,0,@curvbee Info BMKG banjir bandang sudah mulai tiba guys ,1906751337993531689,,curvbee,in,,0,1,0,https://x.com/undefined/status/1906751337993531689,1699823264217072128,
1906718734770967040,Mon Mar 31 16:51:36 +0000 2025,0,@ikyhardianto kemarin juga banjir. butuh tampungan si,1906751240249418094,,ikyhardianto,in,,0,0,0,https://x.com/undefined/status/1906751240249418094,234307503,
1900942620899377920,Mon Mar 31 16:50:15 +0000 2025,0,@sunghanbip BANJIR BEKASYEN KEMAREN AKIBAT KAMU NANGIS YA. STOP GAK.,1906750903887266283,,sunghanbip,in,,0,1,0,https://x.com/undefined/status/1906750903887266283,1083382060528546048,
1906711283447321088,Mon Mar 31 16:49:46 +0000 2025,0,@kegblgnunfaedh baru halo mbak nya langsung banjir,1906750781434503492,,kegblgnunfaedh,in,,0,0,0,https://x.com/undefined/status/1906750781434503492,1055031103,
1906660851429629952,Mon Mar 31 16:47:46 +0000 2025,16,@arccturiius @pieeeO yang putih ini di aku malah dewy dikulit berminyak aku menjadi seperti banjir minyak mukanya dan berubah oren kusem di muka aku sebelumnya ga pernah pake setting spray si baru coba tapi hasilnya bikin parno kalau mau pake setspray lagi ,1906750277702787341,,arccturiius,in,,0,2,0,https://x.com/undefined/status/1906750277702787341,1047477540967703040,
1906718734770967040,Mon Mar 31 16:46:49 +0000 2025,0,@dawnbabeeee Gurl banjir,1906750038916866494,,dawnbabeeee,in,,0,1,0,https://x.com/undefined/status/1906750038916866494,1594026108,
1906366693758145024,Mon Mar 31 16:41:59 +0000 2025,0,@tinkerwbell Gak kena banjir kan nin?,1906748819909517666,,tinkerwbell,in,,0,1,0,https://x.com/undefined/status/1906748819909517666,1434529403111821056,
1906748635309809920,Mon Mar 31 16:41:14 +0000 2025,0,Iya sih bener.... Kek kok pas pakai setting spray lebih banjir dari biasanya mana ya kalau pake setting spray tuh banjirnya yang becek longsor gitu kalau gak pake ss tuh dia banjir tapi ga longsor banyak dan cuman minyak dan jatohnya jadi glowing gitu loh ,1906748635309809965,,,in,,0,0,0,https://x.com/undefined/status/1906748635309809965,794541257687109632,
1906745860404421120,Mon Mar 31 16:33:53 +0000 2025,0,yaudahlah mungkin emg harus fokus di mitigasi-adaptasi banjir dan karhutla ,1906746783692398966,,antiituanti,in,,0,0,0,https://x.com/undefined/status/1906746783692398966,95414145,
1906746076843089920,Mon Mar 31 16:31:05 +0000 2025,0,kek mgkn ini efek grup yg gue stan sblmnya banjir konten kali ya. jdi fanservicenya kerasa bgt: ),1906746079745548649,,shalunace,in,,0,0,0,https://x.com/undefined/status/1906746079745548649,1718829170510447104,
1906553309936132096,Mon Mar 31 16:29:05 +0000 2025,0,@UGM_FESS Pertanyaan tahunan sebagai alumni kehutanan. Dr 2019 selalu banjir wih penerusnya *sensor* yaa 2024 idh mulai wah yg ijazahnya palsu itu kan ,1906745576152244367,,UGM_FESS,in,,0,0,0,https://x.com/undefined/status/1906745576152244367,1845550810815667968,
1906711750973518080,Mon Mar 31 16:27:15 +0000 2025,89,@yuhlookeasy setelah disemprot harus bgt bgt bgt depan kipas minimal 5 menit biar dia nyereppp. soalnya kalo udah banjir tapi ga diangin2 bakal bikin complexion ancurrr. skinprep cukup moist + primer ajaa biar ga terlalu banyak product. kunci skinprep itu minim produk dan sabar nunggu nyerep,1906745112757215707,,tiredrexxy,in,,0,1,0,https://x.com/undefined/status/1906745112757215707,1053349455036994048,
